Latitude (decimal degrees):	51.028
Longitude (decimal degrees):	7.563
Elevation (m):	254
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,12.82,5.93,0.0
20230101:0110,0.0,0.0,0.0,12.67,5.72,0.0
20230101:0210,0.0,0.0,0.0,12.73,6.0,0.0
20230101:0310,0.0,0.0,0.0,12.57,6.14,0.0
20230101:0410,0.0,0.0,0.0,12.2,5.93,0.0
20230101:0510,0.0,0.0,0.0,12.04,5.79,0.0
20230101:0610,0.0,0.0,0.0,12.02,5.79,0.0
20230101:0710,0.0,0.0,0.0,11.44,5.45,0.0
20230101:0810,0.0,4.64,3.67,10.81,5.17,0.0
20230101:0910,6.28,17.62,9.62,10.39,4.97,0.0
20230101:1010,16.48,32.45,13.78,10.72,4.9,0.0
20230101:1110,35.91,57.48,15.8,10.92,4.48,0.0
20230101:1210,53.97,79.36,15.5,11.24,4.21,0.0
20230101:1310,62.42,89.15,12.89,11.37,3.93,0.0
20230101:1410,26.41,45.54,8.23,11.2,3.59,0.0
20230101:1510,0.0,0.87,1.87,10.86,3.17,0.0
20230101:1610,0.0,0.0,0.0,10.25,3.1,0.0
20230101:1710,0.0,0.0,0.0,9.99,3.1,0.0
20230101:1810,0.0,0.0,0.0,9.95,3.38,0.0
20230101:1910,0.0,0.0,0.0,9.65,3.72,0.0
20230101:2010,0.0,0.0,0.0,9.82,4.62,0.0
20230101:2110,0.0,0.0,0.0,10.13,5.31,0.0
20230101:2210,0.0,0.0,0.0,10.51,5.45,0.0
20230101:2310,0.0,0.0,0.0,10.68,4.97,0.0
20230102:0010,0.0,0.0,0.0,10.9,4.76,0.0
20230102:0110,0.0,0.0,0.0,10.84,5.1,0.0
20230102:0210,0.0,0.0,0.0,10.85,5.03,0.0
20230102:0310,0.0,0.0,0.0,10.8,5.03,0.0
20230102:0410,0.0,0.0,0.0,10.67,5.1,0.0
20230102:0510,0.0,0.0,0.0,10.41,4.9,0.0
20230102:0610,0.0,0.0,0.0,9.93,4.69,0.0
20230102:0710,0.0,0.0,0.0,10.22,4.62,0.0
20230102:0810,2.02,10.2,3.69,9.81,4.9,0.0
20230102:0910,22.18,39.87,9.66,9.58,4.9,0.0
20230102:1010,61.73,87.7,13.84,9.47,4.83,0.0
20230102:1110,34.02,54.7,15.88,8.89,4.55,0.0
20230102:1210,32.56,52.85,15.59,8.48,3.52,0.0
20230102:1310,28.16,47.28,13.0,8.13,3.72,0.0
20230102:1410,10.7,24.1,8.35,7.96,3.24,0.0
20230102:1510,0.0,0.87,2.0,7.75,3.31,0.0
20230102:1610,0.0,0.0,0.0,7.52,3.45,0.0
20230102:1710,0.0,0.0,0.0,7.01,3.79,0.0
20230102:1810,0.0,0.0,0.0,6.67,3.72,0.0
20230102:1910,0.0,0.0,0.0,6.47,4.0,0.0
20230102:2010,0.0,0.0,0.0,6.12,3.59,0.0
20230102:2110,0.0,0.0,0.0,5.67,3.38,0.0
20230102:2210,0.0,0.0,0.0,5.56,3.17,0.0
20230102:2310,0.0,0.0,0.0,5.17,3.1,0.0
20230103:0010,0.0,0.0,0.0,5.17,3.03,0.0
20230103:0110,0.0,0.0,0.0,5.02,2.83,0.0
20230103:0210,0.0,0.0,0.0,4.58,2.62,0.0
20230103:0310,0.0,0.0,0.0,4.45,2.48,0.0
20230103:0410,0.0,0.0,0.0,4.4,2.34,0.0
20230103:0510,0.0,0.0,0.0,4.16,2.34,0.0
20230103:0610,0.0,0.0,0.0,3.91,2.55,0.0
20230103:0710,0.0,0.0,0.0,4.26,2.55,0.0
20230103:0810,38.22,59.29,3.72,4.4,2.76,0.0
20230103:0910,109.44,138.92,9.71,4.81,3.86,0.0
20230103:1010,140.29,172.63,13.91,5.14,4.62,0.0
20230103:1110,211.92,250.88,15.97,5.65,4.55,0.0
20230103:1210,196.81,234.9,15.7,6.17,4.69,0.0
20230103:1310,66.19,91.78,13.12,6.62,4.48,0.0
20230103:1410,34.57,54.81,8.48,6.84,3.66,0.0
20230103:1510,0.0,3.5,2.13,6.63,3.24,0.0
20230103:1610,0.0,0.0,0.0,6.32,3.17,0.0
20230103:1710,0.0,0.0,0.0,5.7,3.31,0.0
20230103:1810,0.0,0.0,0.0,5.55,3.72,0.0
20230103:1910,0.0,0.0,0.0,5.02,3.86,0.0
20230103:2010,0.0,0.0,0.0,5.14,4.21,0.0
20230103:2110,0.0,0.0,0.0,5.17,4.48,0.0
20230103:2210,0.0,0.0,0.0,5.22,4.69,0.0
20230103:2310,0.0,0.0,0.0,5.34,4.97,0.0
20230104:0010,0.0,0.0,0.0,5.63,5.31,0.0
20230104:0110,0.0,0.0,0.0,6.05,5.59,0.0
20230104:0210,0.0,0.0,0.0,6.17,5.66,0.0
20230104:0310,0.0,0.0,0.0,6.13,5.86,0.0
20230104:0410,0.0,0.0,0.0,6.2,5.93,0.0
20230104:0510,0.0,0.0,0.0,6.42,5.93,0.0
20230104:0610,0.0,0.0,0.0,6.71,6.07,0.0
20230104:0710,0.0,0.0,0.0,7.02,6.34,0.0
20230104:0810,0.0,5.56,3.76,7.4,6.41,0.0
